intake_id,parcel_id,sender_name,recipient_name,weight_kg,service_type,distance_km,shipping_fee,old_status,updated_status
INT-0161,TH00161,ทองดี จงสวัสดิ์,ทองดี อัศวรุ่งเรืองกิจ,14.82,ธรรมดา,166.7,421.25,รับแล้ว,กำลังส่ง
INT-0162,TH00162,พิไล อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,11.95,ด่วนพิเศษ (Express),79.0,258.0,รับแล้ว,ส่งสำเร็จ
INT-0163,TH00163,เรยา ตากลี,มุนตา บุญพูลทรัพย์,11.25,แช่เย็น (Cold Chain),162.6,378.4,รับแล้ว,ส่งสำเร็จ
INT-0164,TH00164,มุนินทร์ วงศ์เสวต,มุนินทร์ อัศวรุ่งเรืองกิจ,9.11,ธรรมดา,141.1,352.75,รับแล้ว,รับแล้ว
INT-0165,TH00165,เรยา ตากลี,ทองดี ตากลี,7.14,ธรรมดา,289.6,540.8,รับแล้ว,กำลังส่ง
INT-0166,TH00166,มุนินทร์ จงสวัสดิ์,ทองดี จงสวัสดิ์,10.83,ธรรมดา,138.6,346.2,รับแล้ว,รับแล้ว
INT-0167,TH00167,มุนตา ตากลี,มุนินทร์ บุญพูลทรัพย์,4.49,แช่เย็น (Cold Chain),193.6,377.3,รับแล้ว,กำลังส่ง
INT-0168,TH00168,ทองดี บุญพูลทรัพย์,พิไล ตากลี,4.78,ด่วนพิเศษ (Express),156.6,305.7,รับแล้ว,รับแล้ว
INT-0169,TH00169,เรยา ตากลี,เรยา วงศ์เสวต,7.05,ด่วนพิเศษ (Express),76.3,230.95,รับแล้ว,กำลังส่ง
INT-0170,TH00170,พิไล ตากลี,ทองดี วงศ์เสวต,5.03,ด่วนพิเศษ (Express),100.6,232.2,รับแล้ว,ส่งสำเร็จ
INT-0171,TH00171,มุนตา จงสวัสดิ์,มุนินทร์ วงศ์เสวต,12.56,ธรรมดา,37.0,224.1,รับแล้ว,รับแล้ว
INT-0172,TH00172,ทองดี ตากลี,มุนตา ตากลี,9.0,ด่วนพิเศษ (Express),172.9,390.35,รับแล้ว,กำลังส่ง
INT-0173,TH00173,มุนตา อัศวรุ่งเรืองกิจ,ทองดี บุญพูลทรัพย์,13.09,ด่วนพิเศษ (Express),219.1,498.55,รับแล้ว,กำลังส่ง
INT-0174,TH00174,ทองดี อัศวรุ่งเรืองกิจ,มุนินทร์ อัศวรุ่งเรืองกิจ,7.86,ด่วนพิเศษ (Express),54.9,187.95,รับแล้ว,รับแล้ว
INT-0175,TH00175,เรยา บุญพูลทรัพย์,มุนินทร์ บุญพูลทรัพย์,2.17,ธรรมดา,90.8,202.9,รับแล้ว,ส่งสำเร็จ
INT-0176,TH00176,มุนตา วงศ์เสวต,พิไล อัศวรุ่งเรืองกิจ,10.29,แช่เย็น (Cold Chain),171.5,409.15,รับแล้ว,ส่งสำเร็จ
INT-0177,TH00177,ทองดี จงสวัสดิ์,พิไล บุญพูลทรัพย์,10.69,ด่วนพิเศษ (Express),99.6,287.3,รับแล้ว,รับแล้ว
INT-0178,TH00178,ทองดี วงศ์เสวต,มุนินทร์ จงสวัสดิ์,10.03,แช่เย็น (Cold Chain),30.2,185.6,รับแล้ว,รับแล้ว
INT-0179,TH00179,มุนตา อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์,5.95,ธรรมดา,141.6,302.9,รับแล้ว,กำลังส่ง
INT-0180,TH00180,มุนินทร์ วงศ์เสวต,ทองดี อัศวรุ่งเรืองกิจ,1.73,ธรรมดา,25.3,99.25,รับแล้ว,กำลังส่ง
INT-0181,TH00181,เรยา อัศวรุ่งเรืองกิจ,พิไล บุญพูลทรัพย์,6.93,แช่เย็น (Cold Chain),133.0,302.8,รับแล้ว,ส่งสำเร็จ
INT-0182,TH00182,มุนินทร์ ตากลี,มุนินทร์ อัศวรุ่งเรืองกิจ,2.15,ด่วนพิเศษ (Express),134.7,264.55,รับแล้ว,ส่งสำเร็จ
INT-0183,TH00183,ทองดี จงสวัสดิ์,มุนตา จงสวัสดิ์,1.16,แช่เย็น (Cold Chain),124.6,219.5,รับแล้ว,ส่งสำเร็จ
INT-0184,TH00184,ทองดี วงศ์เสวต,เรยา ตากลี,11.63,ด่วนพิเศษ (Express),231.6,493.7,รับแล้ว,รับแล้ว
INT-0185,TH00185,มุนินทร์ บุญพูลทรัพย์,มุนตา วงศ์เสวต,3.05,แช่เย็น (Cold Chain),120.3,237.95,รับแล้ว,รับแล้ว
INT-0186,TH00186,เรยา วงศ์เสวต,มุนตา บุญพูลทรัพย์,6.26,ด่วนพิเศษ (Express),225.2,420.4,รับแล้ว,รับแล้ว
INT-0187,TH00187,มุนตา วงศ์เสวต,เรยา วงศ์เสวต,6.72,แช่เย็น (Cold Chain),127.3,291.15,รับแล้ว,ส่งสำเร็จ
INT-0188,TH00188,มุนตา วงศ์เสวต,เรยา วงศ์เสวต,14.51,แช่เย็น (Cold Chain),59.8,268.8,รับแล้ว,ส่งสำเร็จ
INT-0189,TH00189,เรยา อัศวรุ่งเรืองกิจ,มุนตา จงสวัสดิ์,4.03,แช่เย็น (Cold Chain),180.8,333.5,รับแล้ว,ส่งสำเร็จ
INT-0190,TH00190,ทองดี บุญพูลทรัพย์,มุนินทร์ จงสวัสดิ์,5.33,แช่เย็น (Cold Chain),58.8,181.5,รับแล้ว,ส่งสำเร็จ
INT-0191,TH00191,พิไล จงสวัสดิ์,ทองดี จงสวัสดิ์,13.64,แช่เย็น (Cold Chain),111.3,353.35,รับแล้ว,รับแล้ว
INT-0192,TH00192,ทองดี จงสวัสดิ์,เรยา ตากลี,4.21,ธรรมดา,60.3,176.55,รับแล้ว,กำลังส่ง
INT-0193,TH00193,มุนินทร์ บุญพูลทรัพย์,มุนตา อัศวรุ่งเรืองกิจ,11.44,ด่วนพิเศษ (Express),230.4,501.0,รับแล้ว,รับแล้ว
INT-0194,TH00194,มุนตา อัศวรุ่งเรืองกิจ,มุนินทร์ วงศ์เสวต,2.69,ด่วนพิเศษ (Express),29.8,111.6,รับแล้ว,กำลังส่ง
INT-0195,TH00195,ทองดี วงศ์เสวต,มุนตา อัศวรุ่งเรืองกิจ,5.6,ด่วนพิเศษ (Express),31.5,137.25,รับแล้ว,กำลังส่ง
INT-0196,TH00196,มุนินทร์ บุญพูลทรัพย์,เรยา ตากลี,1.61,ธรรมดา,260.6,446.0,รับแล้ว,รับแล้ว
INT-0197,TH00197,ทองดี ตากลี,มุนินทร์ จงสวัสดิ์,8.91,แช่เย็น (Cold Chain),286.7,567.15,รับแล้ว,รับแล้ว
INT-0198,TH00198,ทองดี ตากลี,ทองดี อัศวรุ่งเรืองกิจ,5.16,ธรรมดา,147.9,323.45,รับแล้ว,รับแล้ว
INT-0199,TH00199,ทองดี จงสวัสดิ์,เรยา ตากลี,14.74,แช่เย็น (Cold Chain),34.5,224.15,รับแล้ว,ส่งสำเร็จ
INT-0200,TH00200,มุนตา ตากลี,เรยา อัศวรุ่งเรืองกิจ,8.1,ด่วนพิเศษ (Express),186.8,392.2,รับแล้ว,รับแล้ว
INT-0201,TH00201,มุนตา วงศ์เสวต,มุนตา วงศ์เสวต,10.34,แช่เย็น (Cold Chain),25.2,181.2,รับแล้ว,ส่งสำเร็จ
INT-0202,TH00202,มุนินทร์ จงสวัสดิ์,มุนตา วงศ์เสวต,8.59,ด่วนพิเศษ (Express),122.1,312.05,รับแล้ว,กำลังส่ง
INT-0203,TH00203,เรยา จงสวัสดิ์,มุนินทร์ วงศ์เสวต,8.95,ด่วนพิเศษ (Express),51.0,195.0,รับแล้ว,รับแล้ว
INT-0204,TH00204,พิไล บุญพูลทรัพย์,ทองดี ตากลี,4.99,ด่วนพิเศษ (Express),119.2,274.7,รับแล้ว,ส่งสำเร็จ
INT-0205,TH00205,พิไล อัศวรุ่งเรืองกิจ,เรยา จงสวัสดิ์,7.87,ด่วนพิเศษ (Express),15.3,126.65,รับแล้ว,ส่งสำเร็จ
INT-0206,TH00206,ทองดี บุญพูลทรัพย์,มุนินทร์ บุญพูลทรัพย์,3.78,ธรรมดา,49.9,141.65,รับแล้ว,ส่งสำเร็จ
INT-0207,TH00207,มุนินทร์ ตากลี,พิไล จงสวัสดิ์,1.05,แช่เย็น (Cold Chain),107.7,196.05,รับแล้ว,รับแล้ว
INT-0208,TH00208,พิไล ตากลี,ทองดี ตากลี,3.12,แช่เย็น (Cold Chain),210.9,392.55,รับแล้ว,กำลังส่ง
INT-0209,TH00209,มุนตา ตากลี,พิไล บุญพูลทรัพย์,5.78,ด่วนพิเศษ (Express),218.7,424.85,รับแล้ว,รับแล้ว
INT-0210,TH00210,พิไล อัศวรุ่งเรืองกิจ,มุนินทร์ ตากลี,3.97,ด่วนพิเศษ (Express),290.0,522.7,รับแล้ว,ส่งสำเร็จ
INT-0211,TH00211,มุนินทร์ ตากลี,พิไล จงสวัสดิ์,7.19,ด่วนพิเศษ (Express),91.7,245.45,รับแล้ว,กำลังส่ง
INT-0212,TH00212,เรยา อัศวรุ่งเรืองกิจ,มุนินทร์ วงศ์เสวต,12.12,ด่วนพิเศษ (Express),50.1,217.35,รับแล้ว,กำลังส่ง
INT-0213,TH00213,ทองดี จงสวัสดิ์,มุนตา ตากลี,10.82,ธรรมดา,159.6,376.6,รับแล้ว,กำลังส่ง
INT-0214,TH00214,พิไล ตากลี,มุนตา วงศ์เสวต,13.63,ด่วนพิเศษ (Express),52.7,237.35,รับแล้ว,กำลังส่ง
INT-0215,TH00215,เรยา วงศ์เสวต,มุนตา จงสวัสดิ์,6.52,ด่วนพิเศษ (Express),125.0,279.7,รับแล้ว,ส่งสำเร็จ
INT-0216,TH00216,มุนตา จงสวัสดิ์,พิไล วงศ์เสวต,0.91,แช่เย็น (Cold Chain),279.9,468.95,รับแล้ว,ส่งสำเร็จ
INT-0217,TH00217,พิไล ตากลี,เรยา บุญพูลทรัพย์,4.66,แช่เย็น (Cold Chain),250.6,468.5,รับแล้ว,กำลังส่ง
INT-0218,TH00218,พิไล บุญพูลทรัพย์,มุนินทร์ บุญพูลทรัพย์,0.58,ด่วนพิเศษ (Express),33.0,81.3,รับแล้ว,กำลังส่ง
INT-0219,TH00219,ทองดี วงศ์เสวต,พิไล ตากลี,6.64,ธรรมดา,235.1,448.05,รับแล้ว,กำลังส่ง
INT-0220,TH00220,เรยา บุญพูลทรัพย์,มุนินทร์ วงศ์เสวต,9.76,ธรรมดา,190.6,406.5,รับแล้ว,กำลังส่ง
INT-0221,TH00221,มุนตา ตากลี,ทองดี บุญพูลทรัพย์,9.66,แช่เย็น (Cold Chain),176.8,385.8,รับแล้ว,ส่งสำเร็จ
INT-0222,TH00222,ทองดี บุญพูลทรัพย์,มุนตา วงศ์เสวต,5.62,ธรรมดา,175.5,360.45,รับแล้ว,กำลังส่ง
INT-0223,TH00223,ทองดี ตากลี,เรยา วงศ์เสวต,14.32,แช่เย็น (Cold Chain),167.8,431.9,รับแล้ว,กำลังส่ง
INT-0224,TH00224,ทองดี อัศวรุ่งเรืองกิจ,ทองดี อัศวรุ่งเรืองกิจ,9.72,ด่วนพิเศษ (Express),294.5,581.95,รับแล้ว,รับแล้ว
INT-0225,TH00225,มุนินทร์ อัศวรุ่งเรืองกิจ,พิไล วงศ์เสวต,4.0,ธรรมดา,200.6,384.9,รับแล้ว,ส่งสำเร็จ
INT-0226,TH00226,เรยา ตากลี,พิไล จงสวัสดิ์,5.61,แช่เย็น (Cold Chain),108.2,243.4,รับแล้ว,กำลังส่ง
INT-0227,TH00227,มุนตา จงสวัสดิ์,ทองดี จงสวัสดิ์,1.41,ด่วนพิเศษ (Express),235.1,387.75,รับแล้ว,กำลังส่ง
INT-0228,TH00228,เรยา บุญพูลทรัพย์,เรยา อัศวรุ่งเรืองกิจ,13.34,ด่วนพิเศษ (Express),101.5,321.65,รับแล้ว,รับแล้ว
INT-0229,TH00229,ทองดี อัศวรุ่งเรืองกิจ,มุนตา วงศ์เสวต,1.03,ด่วนพิเศษ (Express),197.6,337.7,รับแล้ว,กำลังส่ง
INT-0230,TH00230,เรยา ตากลี,มุนตา จงสวัสดิ์,12.09,ด่วนพิเศษ (Express),136.7,368.95,รับแล้ว,กำลังส่ง
INT-0231,TH00231,ทองดี ตากลี,ทองดี ตากลี,7.69,แช่เย็น (Cold Chain),154.3,336.35,รับแล้ว,กำลังส่ง
INT-0232,TH00232,มุนตา วงศ์เสวต,ทองดี อัศวรุ่งเรืองกิจ,9.24,แช่เย็น (Cold Chain),248.5,494.15,รับแล้ว,รับแล้ว
INT-0233,TH00233,เรยา จงสวัสดิ์,เรยา อัศวรุ่งเรืองกิจ,10.08,แช่เย็น (Cold Chain),98.9,291.15,รับแล้ว,ส่งสำเร็จ
INT-0234,TH00234,เรยา อัศวรุ่งเรืองกิจ,ทองดี วงศ์เสวต,6.98,ด่วนพิเศษ (Express),220.8,440.0,รับแล้ว,รับแล้ว
INT-0235,TH00235,พิไล วงศ์เสวต,พิไล บุญพูลทรัพย์,10.23,แช่เย็น (Cold Chain),127.8,339.0,รับแล้ว,ส่งสำเร็จ
INT-0236,TH00236,พิไล อัศวรุ่งเรืองกิจ,มุนตา ตากลี,10.33,ธรรมดา,137.1,330.95,รับแล้ว,รับแล้ว
INT-0237,TH00237,เรยา อัศวรุ่งเรืองกิจ,มุนตา ตากลี,14.27,ธรรมดา,19.4,212.8,รับแล้ว,รับแล้ว
INT-0238,TH00238,เรยา อัศวรุ่งเรืองกิจ,มุนตา จงสวัสดิ์,11.56,แช่เย็น (Cold Chain),176.4,411.2,รับแล้ว,กำลังส่ง
INT-0239,TH00239,มุนินทร์ ตากลี,มุนินทร์ วงศ์เสวต,14.43,ธรรมดา,17.5,205.55,รับแล้ว,ส่งสำเร็จ
INT-0240,TH00240,มุนินทร์ อัศวรุ่งเรืองกิจ,เรยา จงสวัสดิ์,4.3,ด่วนพิเศษ (Express),85.5,197.25,รับแล้ว,ส่งสำเร็จ
INT-0241,TH00241,เรยา วงศ์เสวต,มุนตา อัศวรุ่งเรืองกิจ,2.28,ด่วนพิเศษ (Express),257.3,433.75,รับแล้ว,ส่งสำเร็จ
INT-0242,TH00242,มุนตา จงสวัสดิ์,พิไล อัศวรุ่งเรืองกิจ,10.79,ด่วนพิเศษ (Express),169.5,410.15,รับแล้ว,ส่งสำเร็จ
INT-0243,TH00243,พิไล จงสวัสดิ์,เรยา วงศ์เสวต,7.88,ธรรมดา,45.2,191.6,รับแล้ว,กำลังส่ง
INT-0244,TH00244,มุนินทร์ จงสวัสดิ์,มุนินทร์ วงศ์เสวต,5.73,ด่วนพิเศษ (Express),176.0,366.3,รับแล้ว,กำลังส่ง
INT-0245,TH00245,เรยา บุญพูลทรัพย์,เรยา ตากลี,1.45,แช่เย็น (Cold Chain),125.5,245.75,รับแล้ว,รับแล้ว
INT-0246,TH00246,ทองดี ตากลี,เรยา บุญพูลทรัพย์,12.44,ด่วนพิเศษ (Express),31.4,211.5,รับแล้ว,รับแล้ว
INT-0247,TH00247,มุนินทร์ จงสวัสดิ์,พิไล ตากลี,5.5,แช่เย็น (Cold Chain),264.6,491.9,รับแล้ว,กำลังส่ง
INT-0248,TH00248,พิไล อัศวรุ่งเรืองกิจ,พิไล จงสวัสดิ์,7.79,ธรรมดา,261.8,506.6,รับแล้ว,รับแล้ว
INT-0249,TH00249,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี อัศวรุ่งเรืองกิจ,5.18,ด่วนพิเศษ (Express),215.7,425.35,รับแล้ว,กำลังส่ง
INT-0250,TH00250,มุนตา บุญพูลทรัพย์,มุนินทร์ วงศ์เสวต,3.35,ด่วนพิเศษ (Express),287.3,488.45,รับแล้ว,ส่งสำเร็จ
INT-0251,TH00251,พิไล บุญพูลทรัพย์,มุนินทร์ อัศวรุ่งเรืองกิจ,7.79,แช่เย็น (Cold Chain),58.9,190.25,รับแล้ว,รับแล้ว
INT-0252,TH00252,ทองดี บุญพูลทรัพย์,มุนตา จงสวัสดิ์,12.72,ธรรมดา,173.4,409.3,รับแล้ว,กำลังส่ง
INT-0253,TH00253,เรยา บุญพูลทรัพย์,มุนตา อัศวรุ่งเรืองกิจ,11.62,แช่เย็น (Cold Chain),130.8,332.4,รับแล้ว,ส่งสำเร็จ
INT-0254,TH00254,มุนตา ตากลี,ทองดี วงศ์เสวต,7.5,แช่เย็น (Cold Chain),243.4,472.1,รับแล้ว,ส่งสำเร็จ
INT-0255,TH00255,มุนตา บุญพูลทรัพย์,พิไล อัศวรุ่งเรืองกิจ,2.79,ด่วนพิเศษ (Express),130.5,249.65,รับแล้ว,ส่งสำเร็จ
INT-0256,TH00256,พิไล อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์,12.99,ด่วนพิเศษ (Express),102.6,315.8,รับแล้ว,กำลังส่ง
INT-0257,TH00257,เรยา จงสวัสดิ์,พิไล วงศ์เสวต,2.04,ธรรมดา,80.1,168.55,รับแล้ว,กำลังส่ง
INT-0258,TH00258,พิไล จงสวัสดิ์,มุนตา บุญพูลทรัพย์,1.23,แช่เย็น (Cold Chain),284.2,471.6,รับแล้ว,กำลังส่ง
INT-0259,TH00259,มุนินทร์ ตากลี,เรยา อัศวรุ่งเรืองกิจ,10.96,ธรรมดา,65.1,242.25,รับแล้ว,ส่งสำเร็จ
INT-0260,TH00260,เรยา จงสวัสดิ์,พิไล บุญพูลทรัพย์,7.71,ด่วนพิเศษ (Express),36.1,167.25,รับแล้ว,ส่งสำเร็จ
INT-0261,TH00261,เรยา อัศวรุ่งเรืองกิจ,มุนินทร์ วงศ์เสวต,5.62,ด่วนพิเศษ (Express),24.7,132.25,รับแล้ว,ส่งสำเร็จ
INT-0262,TH00262,มุนตา ตากลี,มุนตา วงศ์เสวต,12.78,ด่วนพิเศษ (Express),135.0,373.3,รับแล้ว,กำลังส่ง
INT-0263,TH00263,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี ตากลี,6.31,ธรรมดา,175.4,357.2,รับแล้ว,กำลังส่ง
INT-0264,TH00264,มุนินทร์ บุญพูลทรัพย์,ทองดี จงสวัสดิ์,7.81,ด่วนพิเศษ (Express),231.7,471.65,รับแล้ว,รับแล้ว
INT-0265,TH00265,มุนตา จงสวัสดิ์,พิไล บุญพูลทรัพย์,14.64,ด่วนพิเศษ (Express),124.2,369.7,รับแล้ว,ส่งสำเร็จ
INT-0266,TH00266,พิไล อัศวรุ่งเรืองกิจ,เรยา บุญพูลทรัพย์,7.88,ธรรมดา,155.0,332.3,รับแล้ว,กำลังส่ง
INT-0267,TH00267,มุนตา บุญพูลทรัพย์,มุนตา จงสวัสดิ์,7.13,แช่เย็น (Cold Chain),185.8,374.0,รับแล้ว,รับแล้ว
INT-0268,TH00268,มุนตา บุญพูลทรัพย์,มุนินทร์ บุญพูลทรัพย์,6.2,ด่วนพิเศษ (Express),188.8,383.2,รับแล้ว,รับแล้ว
INT-0269,TH00269,ทองดี อัศวรุ่งเรืองกิจ,มุนตา วงศ์เสวต,7.6,ด่วนพิเศษ (Express),173.2,381.8,รับแล้ว,ส่งสำเร็จ
INT-0270,TH00270,ทองดี บุญพูลทรัพย์,เรยา อัศวรุ่งเรืองกิจ,14.71,แช่เย็น (Cold Chain),179.3,463.05,รับแล้ว,ส่งสำเร็จ
INT-0271,TH00271,พิไล วงศ์เสวต,มุนินทร์ ตากลี,14.52,แช่เย็น (Cold Chain),237.0,538.7,รับแล้ว,กำลังส่ง
INT-0272,TH00272,เรยา จงสวัสดิ์,พิไล วงศ์เสวต,2.97,แช่เย็น (Cold Chain),192.4,362.3,รับแล้ว,รับแล้ว
INT-0273,TH00273,เรยา อัศวรุ่งเรืองกิจ,เรยา จงสวัสดิ์,8.8,ธรรมดา,213.2,427.8,รับแล้ว,ส่งสำเร็จ
INT-0274,TH00274,มุนินทร์ ตากลี,ทองดี จงสวัสดิ์,6.49,แช่เย็น (Cold Chain),69.1,212.55,รับแล้ว,ส่งสำเร็จ
INT-0275,TH00275,มุนินทร์ ตากลี,มุนตา จงสวัสดิ์,8.02,แช่เย็น (Cold Chain),172.7,374.25,รับแล้ว,รับแล้ว
INT-0276,TH00276,มุนตา บุญพูลทรัพย์,เรยา จงสวัสดิ์,7.17,แช่เย็น (Cold Chain),164.6,349.6,รับแล้ว,ส่งสำเร็จ
INT-0277,TH00277,มุนตา อัศวรุ่งเรืองกิจ,พิไล ตากลี,14.38,ด่วนพิเศษ (Express),90.9,307.15,รับแล้ว,รับแล้ว
INT-0278,TH00278,มุนตา วงศ์เสวต,มุนินทร์ บุญพูลทรัพย์,5.1,แช่เย็น (Cold Chain),111.2,245.8,รับแล้ว,รับแล้ว
INT-0279,TH00279,พิไล อัศวรุ่งเรืองกิจ,ทองดี อัศวรุ่งเรืองกิจ,6.01,ด่วนพิเศษ (Express),294.2,551.4,รับแล้ว,ส่งสำเร็จ
INT-0280,TH00280,มุนตา ตากลี,พิไล จงสวัสดิ์,14.35,ด่วนพิเศษ (Express),32.9,232.85,รับแล้ว,รับแล้ว
INT-0281,TH00281,มุนตา จงสวัสดิ์,ทองดี บุญพูลทรัพย์,12.51,แช่เย็น (Cold Chain),88.6,300.0,รับแล้ว,รับแล้ว
INT-0282,TH00282,มุนินทร์ จงสวัสดิ์,พิไล วงศ์เสวต,11.24,ธรรมดา,79.4,272.5,รับแล้ว,กำลังส่ง
INT-0283,TH00283,พิไล วงศ์เสวต,มุนินทร์ จงสวัสดิ์,1.95,ด่วนพิเศษ (Express),105.8,201.2,รับแล้ว,รับแล้ว
INT-0284,TH00284,พิไล อัศวรุ่งเรืองกิจ,มุนตา อัศวรุ่งเรืองกิจ,6.4,ด่วนพิเศษ (Express),281.2,520.8,รับแล้ว,ส่งสำเร็จ
INT-0285,TH00285,มุนินทร์ จงสวัสดิ์,มุนินทร์ วงศ์เสวต,9.87,ธรรมดา,273.3,548.65,รับแล้ว,รับแล้ว
INT-0286,TH00286,ทองดี ตากลี,เรยา จงสวัสดิ์,13.74,ธรรมดา,60.8,277.6,รับแล้ว,รับแล้ว
INT-0287,TH00287,ทองดี วงศ์เสวต,มุนตา บุญพูลทรัพย์,14.08,ด่วนพิเศษ (Express),289.0,622.3,รับแล้ว,ส่งสำเร็จ
INT-0288,TH00288,เรยา บุญพูลทรัพย์,มุนินทร์ ตากลี,9.24,ด่วนพิเศษ (Express),279.3,540.35,รับแล้ว,รับแล้ว
INT-0289,TH00289,มุนตา จงสวัสดิ์,ทองดี อัศวรุ่งเรืองกิจ,13.39,แช่เย็น (Cold Chain),48.9,241.25,รับแล้ว,รับแล้ว
INT-0290,TH00290,พิไล วงศ์เสวต,มุนตา อัศวรุ่งเรืองกิจ,2.86,ด่วนพิเศษ (Express),143.1,285.25,รับแล้ว,รับแล้ว
INT-0291,TH00291,เรยา ตากลี,มุนินทร์ อัศวรุ่งเรืองกิจ,8.73,ธรรมดา,229.6,470.7,รับแล้ว,ส่งสำเร็จ
INT-0292,TH00292,เรยา อัศวรุ่งเรืองกิจ,พิไล วงศ์เสวต,1.76,ธรรมดา,204.1,347.75,รับแล้ว,กำลังส่ง
INT-0293,TH00293,มุนตา อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์,4.28,ด่วนพิเศษ (Express),78.3,210.25,รับแล้ว,กำลังส่ง
INT-0294,TH00294,ทองดี วงศ์เสวต,เรยา อัศวรุ่งเรืองกิจ,0.67,แช่เย็น (Cold Chain),199.6,333.1,รับแล้ว,รับแล้ว
INT-0295,TH00295,มุนตา วงศ์เสวต,มุนตา อัศวรุ่งเรืองกิจ,2.82,แช่เย็น (Cold Chain),209.0,385.7,รับแล้ว,ส่งสำเร็จ
INT-0296,TH00296,พิไล ตากลี,มุนินทร์ อัศวรุ่งเรืองกิจ,9.41,ธรรมดา,73.5,239.35,รับแล้ว,ส่งสำเร็จ
INT-0297,TH00297,มุนินทร์ จงสวัสดิ์,พิไล บุญพูลทรัพย์,6.53,ด่วนพิเศษ (Express),169.3,363.25,รับแล้ว,ส่งสำเร็จ
INT-0298,TH00298,มุนตา วงศ์เสวต,มุนินทร์ วงศ์เสวต,13.16,ด่วนพิเศษ (Express),33.7,218.15,รับแล้ว,ส่งสำเร็จ
INT-0299,TH00299,มุนินทร์ บุญพูลทรัพย์,พิไล จงสวัสดิ์,1.4,แช่เย็น (Cold Chain),168.8,293.2,รับแล้ว,กำลังส่ง
INT-0300,TH00300,พิไล บุญพูลทรัพย์,เรยา วงศ์เสวต,5.26,ธรรมดา,160.9,334.95,รับแล้ว,ส่งสำเร็จ
