intake_id,parcel_id,sender_name,recipient_name,weight_kg,service_type,distance_km,status,shipping_fee
INT-0179,TH00179,มุนินทร์ วงศ์เสวต,มุตตา จงสวัสดิ์,9.23,แช่เย็น (Cold Chain),19.8,รับแล้ว,93.84
INT-0180,TH00180,ทองดี ตาคลี,พิไล อัศวรุ่งเรืองกิจ,10.38,แช่เย็น (Cold Chain),161.1,รับแล้ว,138.04
INT-0181,TH00181,พิไล จงสวัสดิ์,มุตตา จงสวัสดิ์,1.49,ด่วนพิเศษ (Express),158.2,รับแล้ว,77.45
INT-0182,TH00182,มุตตา อัศวรุ่งเรืองกิจ,มุตตา อัศวรุ่งเรืองกิจ,5.0,ด่วนพิเศษ (Express),10.4,รับแล้ว,50.0
INT-0183,TH00183,มุตตา จงสวัสดิ์,ทองดี วงศ์เสวต,9.11,ด่วนพิเศษ (Express),116.2,รับแล้ว,107.88
INT-0184,TH00184,พิไล บุญพูลทรัพย์ ,เรณู อัศวรุ่งเรืองกิจ,3.23,แช่เย็น (Cold Chain),119.4,รับแล้ว,66.15
INT-0185,TH00185,มุนินทร์ วงศ์เสวต,เรยา จงสวัสดิ์,7.82,ธรรมดา,10.7,รับแล้ว,72.56
INT-0186,TH00186,ทองดี ตาคลี,พิไล อัศวรุ่งเรืองกิจ,2.8,ด่วนพิเศษ (Express),229.6,รับแล้ว,84.0
INT-0187,TH00187,เรณู ตาคลี,ทองดี อัศวรุ่งเรืองกิจ,11.94,แช่เย็น (Cold Chain),84.3,รับแล้ว,130.52
INT-0188,TH00188,มุตตา วงศ์เสวต,ทองดี ตาคลี,4.15,แช่เย็น (Cold Chain),241.1,รับแล้ว,90.75
INT-0189,TH00189,พิไล จงสวัสดิ์,เรยา อัศวรุ่งเรืองกิจ,2.55,ด่วนพิเศษ (Express),78.2,รับแล้ว,62.75
INT-0190,TH00190,ทองดี บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,10.78,ธรรมดา,78.1,รับแล้ว,121.24
INT-0191,TH00191,เรณู บุญพูลทรัพย์ ,มุนินทร์ บุญพูลทรัพย์ ,1.86,แช่เย็น (Cold Chain),106.4,รับแล้ว,59.3
INT-0192,TH00192,มุตตา วงศ์เสวต,มุตตา จงสวัสดิ์,5.46,ด่วนพิเศษ (Express),48.8,รับแล้ว,63.68
INT-0193,TH00193,มุนินทร์ จงสวัสดิ์,มุตตา วงศ์เสวต,11.68,แช่เย็น (Cold Chain),221.0,รับแล้ว,148.44
INT-0194,TH00194,เรยา บุญพูลทรัพย์ ,พิไล จงสวัสดิ์,5.96,ธรรมดา,46.0,รับแล้ว,67.68
INT-0195,TH00195,ทองดี อัศวรุ่งเรืองกิจ,ทองดี ตาคลี,6.46,แช่เย็น (Cold Chain),180.2,รับแล้ว,106.68
INT-0196,TH00196,เรณู อัศวรุ่งเรืองกิจ,ทองดี ตาคลี,8.24,ด่วนพิเศษ (Express),241.4,รับแล้ว,120.92
INT-0197,TH00197,เรณู จงสวัสดิ์,ทองดี อัศวรุ่งเรืองกิจ,7.19,ด่วนพิเศษ (Express),194.8,รับแล้ว,112.52
INT-0198,TH00198,พิไล อัศวรุ่งเรืองกิจ,มุนินทร์ จงสวัสดิ์,2.51,ด่วนพิเศษ (Express),14.0,รับแล้ว,37.55
INT-0199,TH00199,เรณู จงสวัสดิ์,เรยา บุญพูลทรัพย์ ,12.84,ด่วนพิเศษ (Express),21.9,รับแล้ว,122.72
INT-0200,TH00200,มุนินทร์ จงสวัสดิ์,พิไล จงสวัสดิ์,1.83,ธรรมดา,204.4,รับแล้ว,79.15
INT-0201,TH00201,มุตตา วงศ์เสวต,เรยา ตาคลี,5.92,ด่วนพิเศษ (Express),248.6,รับแล้ว,102.36
INT-0202,TH00202,มุตตา จงสวัสดิ์,มุตตา วงศ์เสวต,5.36,ธรรมดา,35.3,รับแล้ว,62.88
INT-0203,TH00203,มุตตา ตาคลี,ทองดี ตาคลี,9.42,ธรรมดา,5.7,รับแล้ว,85.36
INT-0204,TH00204,มุนินทร์ จงสวัสดิ์,ทองดี อัศวรุ่งเรืองกิจ,6.64,ด่วนพิเศษ (Express),60.2,รับแล้ว,88.12
INT-0205,TH00205,เรยา วงศ์เสวต,เรณู บุญพูลทรัพย์ ,7.13,ธรรมดา,209.3,รับแล้ว,112.04
INT-0206,TH00206,เรณู อัศวรุ่งเรืองกิจ,เรยา บุญพูลทรัพย์ ,8.84,แช่เย็น (Cold Chain),36.8,รับแล้ว,90.72
INT-0207,TH00207,เรณู วงศ์เสวต,มุตตา จงสวัสดิ์,6.54,แช่เย็น (Cold Chain),167.4,รับแล้ว,107.32
INT-0208,TH00208,พิไล จงสวัสดิ์,พิไล อัศวรุ่งเรืองกิจ,11.9,แช่เย็น (Cold Chain),139.0,รับแล้ว,130.2
INT-0209,TH00209,เรณู ตาคลี,ทองดี ตาคลี,4.18,ธรรมดา,89.9,รับแล้ว,70.9
INT-0210,TH00210,เรยา จงสวัสดิ์,ทองดี บุญพูลทรัพย์ ,2.0,แช่เย็น (Cold Chain),184.1,รับแล้ว,80.0
INT-0211,TH00211,มุตตา จงสวัสดิ์,มุตตา อัศวรุ่งเรืองกิจ,12.3,ธรรมดา,207.8,รับแล้ว,153.4
INT-0212,TH00212,ทองดี ตาคลี,ทองดี จงสวัสดิ์,1.41,ด่วนพิเศษ (Express),10.2,รับแล้ว,32.05
INT-0213,TH00213,มุนินทร์ วงศ์เสวต,เรยา จงสวัสดิ์,7.97,แช่เย็น (Cold Chain),118.9,รับแล้ว,98.76
INT-0214,TH00214,เรยา บุญพูลทรัพย์ ,มุตตา จงสวัสดิ์,13.05,ด่วนพิเศษ (Express),69.0,รับแล้ว,139.4
INT-0215,TH00215,มุตตา ตาคลี,ทองดี ตาคลี,5.42,ธรรมดา,124.6,รับแล้ว,78.36
INT-0216,TH00216,เรณู จงสวัสดิ์,มุตตา วงศ์เสวต,1.64,แช่เย็น (Cold Chain),248.8,รับแล้ว,78.2
INT-0217,TH00217,มุนินทร์ อัศวรุ่งเรืองกิจ,มุตตา วงศ์เสวต,5.25,ด่วนพิเศษ (Express),77.3,รับแล้ว,77.0
INT-0218,TH00218,พิไล บุญพูลทรัพย์ ,มุนินทร์ บุญพูลทรัพย์ ,5.6,ธรรมดา,182.0,รับแล้ว,99.8
INT-0219,TH00219,มุตตา อัศวรุ่งเรืองกิจ,มุตตา บุญพูลทรัพย์ ,1.59,แช่เย็น (Cold Chain),102.1,รับแล้ว,57.95
INT-0220,TH00220,พิไล บุญพูลทรัพย์ ,เรยา จงสวัสดิ์,10.33,ด่วนพิเศษ (Express),9.7,รับแล้ว,92.64
INT-0221,TH00221,เรยา จงสวัสดิ์,มุตตา จงสวัสดิ์,14.27,ธรรมดา,151.7,รับแล้ว,169.16
INT-0222,TH00222,ทองดี ตาคลี,มุตตา ตาคลี,8.82,แช่เย็น (Cold Chain),92.4,รับแล้ว,105.56
INT-0223,TH00223,มุตตา บุญพูลทรัพย์ ,มุนินทร์ วงศ์เสวต,11.17,ด่วนพิเศษ (Express),129.9,รับแล้ว,124.36
INT-0224,TH00224,พิไล วงศ์เสวต,มุตตา บุญพูลทรัพย์ ,3.61,แช่เย็น (Cold Chain),72.1,รับแล้ว,68.05
INT-0225,TH00225,เรณู จงสวัสดิ์,มุนินทร์ วงศ์เสวต,3.0,แช่เย็น (Cold Chain),111.8,รับแล้ว,65.0
INT-0226,TH00226,เรยา บุญพูลทรัพย์ ,ทองดี จงสวัสดิ์,8.47,ด่วนพิเศษ (Express),222.9,รับแล้ว,122.76
INT-0227,TH00227,มุนินทร์ บุญพูลทรัพย์ ,มุนินทร์ จงสวัสดิ์,3.75,ธรรมดา,198.2,รับแล้ว,88.75
INT-0228,TH00228,มุนินทร์ ตาคลี,มุตตา อัศวรุ่งเรืองกิจ,5.85,แช่เย็น (Cold Chain),33.3,รับแล้ว,66.8
INT-0229,TH00229,เรยา วงศ์เสวต,เรณู บุญพูลทรัพย์ ,8.12,ด่วนพิเศษ (Express),206.0,รับแล้ว,119.96
INT-0230,TH00230,เรยา จงสวัสดิ์,ทองดี วงศ์เสวต,7.25,แช่เย็น (Cold Chain),86.8,รับแล้ว,93.0
INT-0231,TH00231,พิไล บุญพูลทรัพย์ ,มุนินทร์ จงสวัสดิ์,7.79,ธรรมดา,208.0,รับแล้ว,117.32
INT-0232,TH00232,พิไล จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,14.05,ธรรมดา,87.2,รับแล้ว,147.4
INT-0233,TH00233,พิไล จงสวัสดิ์,มุตตา จงสวัสดิ์,14.37,ด่วนพิเศษ (Express),32.2,รับแล้ว,134.96
INT-0234,TH00234,มุตตา อัศวรุ่งเรืองกิจ,เรยา อัศวรุ่งเรืองกิจ,2.95,แช่เย็น (Cold Chain),39.4,รับแล้ว,49.75
INT-0235,TH00235,ทองดี อัศวรุ่งเรืองกิจ,มุตตา อัศวรุ่งเรืองกิจ,12.47,ธรรมดา,21.2,รับแล้ว,119.76
INT-0236,TH00236,ทองดี อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,6.54,แช่เย็น (Cold Chain),8.5,รับแล้ว,62.32
INT-0237,TH00237,ทองดี อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,4.05,แช่เย็น (Cold Chain),102.1,รับแล้ว,70.25
INT-0238,TH00238,เรณู วงศ์เสวต,มุนินทร์ ตาคลี,7.52,ธรรมดา,85.7,รับแล้ว,95.16
INT-0239,TH00239,มุนินทร์ จงสวัสดิ์,ทองดี จงสวัสดิ์,2.4,ด่วนพิเศษ (Express),129.2,รับแล้ว,62.0
INT-0240,TH00240,เรยา จงสวัสดิ์,เรณู วงศ์เสวต,7.02,ธรรมดา,25.1,รับแล้ว,76.16
INT-0241,TH00241,มุตตา ตาคลี,เรณู จงสวัสดิ์,12.3,แช่เย็น (Cold Chain),180.6,รับแล้ว,153.4
INT-0242,TH00242,มุนินทร์ จงสวัสดิ์,พิไล ตาคลี,13.25,ด่วนพิเศษ (Express),6.8,รับแล้ว,116.0
INT-0243,TH00243,เรณู อัศวรุ่งเรืองกิจ,มุนินทร์ จงสวัสดิ์,5.62,ธรรมดา,71.1,รับแล้ว,79.96
INT-0244,TH00244,พิไล บุญพูลทรัพย์ ,มุตตา อัศวรุ่งเรืองกิจ,12.78,ด่วนพิเศษ (Express),34.3,รับแล้ว,122.24
INT-0245,TH00245,มุตตา บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,6.31,แช่เย็น (Cold Chain),140.9,รับแล้ว,85.48
INT-0246,TH00246,มุตตา อัศวรุ่งเรืองกิจ,เรยา ตาคลี,7.03,แช่เย็น (Cold Chain),70.7,รับแล้ว,91.24
INT-0247,TH00247,พิไล บุญพูลทรัพย์ ,เรยา จงสวัสดิ์,6.21,ด่วนพิเศษ (Express),139.9,รับแล้ว,84.68
INT-0248,TH00248,มุตตา จงสวัสดิ์,พิไล อัศวรุ่งเรืองกิจ,7.75,ธรรมดา,10.7,รับแล้ว,72.0
INT-0249,TH00249,ทองดี จงสวัสดิ์,พิไล ตาคลี,9.29,แช่เย็น (Cold Chain),35.8,รับแล้ว,94.32
INT-0250,TH00250,พิไล จงสวัสดิ์,เรณู อัศวรุ่งเรืองกิจ,9.11,แช่เย็น (Cold Chain),207.2,รับแล้ว,127.88
INT-0251,TH00251,พิไล ตาคลี,มุตตา ตาคลี,5.84,แช่เย็น (Cold Chain),28.3,รับแล้ว,66.72
INT-0252,TH00252,เรณู อัศวรุ่งเรืองกิจ,ทองดี บุญพูลทรัพย์ ,0.89,ด่วนพิเศษ (Express),67.1,รับแล้ว,55.0
INT-0253,TH00253,ทองดี อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์ ,8.96,ธรรมดา,131.5,รับแล้ว,106.68
INT-0254,TH00254,ทองดี อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์ ,0.96,แช่เย็น (Cold Chain),28.4,รับแล้ว,40.0
INT-0255,TH00255,เรยา ตาคลี,เรณู จงสวัสดิ์,10.51,ด่วนพิเศษ (Express),126.0,รับแล้ว,119.08
INT-0256,TH00256,พิไล ตาคลี,ทองดี จงสวัสดิ์,3.51,ด่วนพิเศษ (Express),249.5,รับแล้ว,87.55
INT-0257,TH00257,เรณู อัศวรุ่งเรืองกิจ,มุตตา จงสวัสดิ์,13.73,ด่วนพิเศษ (Express),137.0,รับแล้ว,144.84
INT-0258,TH00258,ทองดี บุญพูลทรัพย์ ,ทองดี จงสวัสดิ์,7.52,ธรรมดา,70.5,รับแล้ว,95.16
INT-0259,TH00259,มุตตา จงสวัสดิ์,มุตตา บุญพูลทรัพย์ ,10.51,ด่วนพิเศษ (Express),79.9,รับแล้ว,119.08
INT-0260,TH00260,มุตตา อัศวรุ่งเรืองกิจ,มุตตา วงศ์เสวต,10.31,ด่วนพิเศษ (Express),224.0,รับแล้ว,137.48
INT-0261,TH00261,เรณู จงสวัสดิ์,มุตตา วงศ์เสวต,14.35,ธรรมดา,87.2,รับแล้ว,149.8
INT-0262,TH00262,เรณู บุญพูลทรัพย์ ,ทองดี ตาคลี,3.43,แช่เย็น (Cold Chain),68.5,รับแล้ว,67.15
INT-0263,TH00263,พิไล บุญพูลทรัพย์ ,มุนินทร์ วงศ์เสวต,11.24,ธรรมดา,61.4,รับแล้ว,124.92
INT-0264,TH00264,ทองดี อัศวรุ่งเรืองกิจ,ทองดี จงสวัสดิ์,1.95,ด่วนพิเศษ (Express),179.6,รับแล้ว,79.75
INT-0265,TH00265,เรยา บุญพูลทรัพย์ ,เรยา อัศวรุ่งเรืองกิจ,6.4,ด่วนพิเศษ (Express),119.9,รับแล้ว,86.2
INT-0266,TH00266,มุนินทร์ จงสวัสดิ์,มุตตา บุญพูลทรัพย์ ,13.67,ธรรมดา,163.4,รับแล้ว,164.36
INT-0267,TH00267,มุนินทร์ อัศวรุ่งเรืองกิจ,มุนินทร์ ตาคลี,14.04,ธรรมดา,249.3,รับแล้ว,167.32
INT-0268,TH00268,เรณู ตาคลี,ทองดี จงสวัสดิ์,0.63,แช่เย็น (Cold Chain),151.1,รับแล้ว,75.0
INT-0269,TH00269,มุตตา จงสวัสดิ์,ทองดี อัศวรุ่งเรืองกิจ,7.66,ธรรมดา,212.9,รับแล้ว,116.28
INT-0270,TH00270,เรณู จงสวัสดิ์,เรยา จงสวัสดิ์,11.1,แช่เย็น (Cold Chain),65.1,รับแล้ว,123.8
INT-0271,TH00271,มุนินทร์ วงศ์เสวต,มุตตา อัศวรุ่งเรืองกิจ,3.04,แช่เย็น (Cold Chain),224.4,รับแล้ว,85.2
INT-0272,TH00272,เรณู อัศวรุ่งเรืองกิจ,เรยา ตาคลี,1.88,ธรรมดา,119.9,รับแล้ว,59.4
INT-0273,TH00273,มุนินทร์ วงศ์เสวต,เรณู จงสวัสดิ์,11.43,ด่วนพิเศษ (Express),76.2,รับแล้ว,126.44
INT-0274,TH00274,ทองดี อัศวรุ่งเรืองกิจ,มุตตา บุญพูลทรัพย์ ,10.55,ธรรมดา,167.3,รับแล้ว,139.4
INT-0275,TH00275,เรณู จงสวัสดิ์,เรณู บุญพูลทรัพย์ ,13.89,แช่เย็น (Cold Chain),192.7,รับแล้ว,166.12
INT-0276,TH00276,ทองดี วงศ์เสวต,มุตตา จงสวัสดิ์,3.7,ธรรมดา,120.1,รับแล้ว,68.5
INT-0277,TH00277,เรณู บุญพูลทรัพย์ ,มุตตา ตาคลี,13.74,แช่เย็น (Cold Chain),200.7,รับแล้ว,164.92
INT-0278,TH00278,มุนินทร์ จงสวัสดิ์,เรยา อัศวรุ่งเรืองกิจ,8.16,ด่วนพิเศษ (Express),20.4,รับแล้ว,85.28
INT-0279,TH00279,พิไล วงศ์เสวต,พิไล อัศวรุ่งเรืองกิจ,8.8,ธรรมดา,42.0,รับแล้ว,90.4
INT-0280,TH00280,พิไล ตาคลี,ทองดี จงสวัสดิ์,7.59,แช่เย็น (Cold Chain),111.9,รับแล้ว,95.72
INT-0281,TH00281,เรยา ตาคลี,พิไล ตาคลี,8.68,แช่เย็น (Cold Chain),116.1,รับแล้ว,104.44
INT-0282,TH00282,มุตตา บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,11.31,แช่เย็น (Cold Chain),19.2,รับแล้ว,110.48
INT-0283,TH00283,เรณู จงสวัสดิ์,พิไล วงศ์เสวต,14.8,ด่วนพิเศษ (Express),8.9,รับแล้ว,128.4
INT-0284,TH00284,เรณู จงสวัสดิ์,ทองดี บุญพูลทรัพย์ ,14.47,ด่วนพิเศษ (Express),248.2,รับแล้ว,170.76
INT-0285,TH00285,เรณู ตาคลี,เรณู วงศ์เสวต,13.18,ธรรมดา,163.7,รับแล้ว,160.44
INT-0286,TH00286,มุตตา วงศ์เสวต,พิไล ตาคลี,2.35,ธรรมดา,208.9,รับแล้ว,81.75
INT-0287,TH00287,เรยา จงสวัสดิ์,ทองดี บุญพูลทรัพย์ ,6.65,ด่วนพิเศษ (Express),206.0,รับแล้ว,108.2
INT-0288,TH00288,มุนินทร์ ตาคลี,มุนินทร์ จงสวัสดิ์,14.09,แช่เย็น (Cold Chain),191.6,รับแล้ว,167.72
INT-0289,TH00289,เรยา บุญพูลทรัพย์ ,พิไล วงศ์เสวต,3.49,ธรรมดา,148.9,รับแล้ว,67.45
INT-0290,TH00290,เรณู อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์ ,6.33,ธรรมดา,135.4,รับแล้ว,85.64
INT-0291,TH00291,เรยา จงสวัสดิ์,มุตตา จงสวัสดิ์,5.12,แช่เย็น (Cold Chain),193.4,รับแล้ว,95.96
INT-0292,TH00292,มุตตา จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์ ,3.71,ด่วนพิเศษ (Express),69.5,รับแล้ว,68.55
INT-0293,TH00293,พิไล อัศวรุ่งเรืองกิจ,ทองดี บุญพูลทรัพย์ ,8.56,ธรรมดา,243.1,รับแล้ว,123.48
INT-0294,TH00294,ทองดี บุญพูลทรัพย์ ,พิไล จงสวัสดิ์,6.42,ด่วนพิเศษ (Express),94.7,รับแล้ว,86.36
INT-0295,TH00295,พิไล ตาคลี,มุนินทร์ จงสวัสดิ์,12.18,ธรรมดา,141.0,รับแล้ว,132.44
INT-0296,TH00296,เรณู อัศวรุ่งเรืองกิจ,มุนินทร์ ตาคลี,4.2,ด่วนพิเศษ (Express),162.0,รับแล้ว,91.0
INT-0297,TH00297,เรณู จงสวัสดิ์,พิไล บุญพูลทรัพย์ ,1.25,ด่วนพิเศษ (Express),168.7,รับแล้ว,76.25
INT-0298,TH00298,พิไล วงศ์เสวต,มุนินทร์ อัศวรุ่งเรืองกิจ,3.65,ธรรมดา,217.5,รับแล้ว,88.25
INT-0299,TH00299,มุตตา จงสวัสดิ์,มุนินทร์ จงสวัสดิ์,11.33,ด่วนพิเศษ (Express),228.7,รับแล้ว,145.64
INT-0300,TH00300,ทองดี อัศวรุ่งเรืองกิจ,เรณู จงสวัสดิ์,5.16,ด่วนพิเศษ (Express),95.8,รับแล้ว,76.28
